timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436615751,1289,IndexRequest,200,OK,BugresistanceUsers 1-36,text,true,,2154,262,111,111,https://bugresistance.com/index.html,656,0,292
1701436615751,656,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-36,text,true,,338,133,111,111,https://www.bugresistance.com/index.html,656,0,292
1701436616407,633,IndexRequest-1,200,OK,BugresistanceUsers 1-36,text,true,,1816,129,111,111,https://bugresistance.com/index.html,632,0,485
1701436616991,1538,IndexRequest,200,OK,BugresistanceUsers 1-109,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1013,0,478
1701436616789,1676,IndexRequest,200,OK,BugresistanceUsers 1-97,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1477,0,1402
1701436616991,1013,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-109,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1013,0,478
1701436616789,1477,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-97,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1477,0,1402
1701436618005,524,IndexRequest-1,200,OK,BugresistanceUsers 1-109,text,true,,1816,129,120,120,https://bugresistance.com/index.html,524,0,465
1701436618267,198,IndexRequest-1,200,OK,BugresistanceUsers 1-97,text,true,,1816,129,120,120,https://bugresistance.com/index.html,198,0,136
1701436616722,1671,IndexRequest,200,OK,BugresistanceUsers 1-93,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1456,0,144
1701436616897,1490,IndexRequest,200,OK,BugresistanceUsers 1-103,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1283,0,253
1701436616722,1456,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-93,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1456,0,144
1701436616897,1283,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-103,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1283,0,253
1701436617179,1162,IndexRequest,200,OK,BugresistanceUsers 1-120,text,true,,2154,262,120,120,https://bugresistance.com/index.html,956,0,479
1701436616910,1420,IndexRequest,200,OK,BugresistanceUsers 1-104,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1216,0,1144
1701436617179,957,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-120,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,956,0,479
1701436616910,1216,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-104,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1216,0,1144
1701436618136,205,IndexRequest-1,200,OK,BugresistanceUsers 1-120,text,true,,1816,129,120,120,https://bugresistance.com/index.html,205,0,146
1701436618127,203,IndexRequest-1,200,OK,BugresistanceUsers 1-104,text,true,,1816,129,120,120,https://bugresistance.com/index.html,203,0,145
1701436616941,1381,IndexRequest,200,OK,BugresistanceUsers 1-106,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1164,0,1091
1701436616924,1364,IndexRequest,200,OK,BugresistanceUsers 1-105,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1158,0,1086
1701436616941,1164,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-106,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1164,0,1091
1701436616924,1158,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-105,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1158,0,1086
1701436618106,216,IndexRequest-1,200,OK,BugresistanceUsers 1-106,text,true,,1816,129,120,120,https://bugresistance.com/index.html,216,0,155
1701436618083,205,IndexRequest-1,200,OK,BugresistanceUsers 1-105,text,true,,1816,129,120,120,https://bugresistance.com/index.html,205,0,136
1701436616864,1384,CourseAdmissionRequest,200,OK,BugresistanceUsers 1-71,text,true,,2164,272,120,120,https://bugresistance.com/courseadmission,1314,0,0
1701436616864,1314,CourseAdmissionRequest-0,301,Moved Permanently,BugresistanceUsers 1-71,text,true,,348,138,120,120,https://www.bugresistance.com/courseadmission,1314,0,0
1701436616857,1351,CourseAdmissionRequest,200,OK,BugresistanceUsers 1-50,text,true,,2164,272,120,120,https://bugresistance.com/courseadmission,1279,0,0
1701436618179,69,CourseAdmissionRequest-1,200,OK,BugresistanceUsers 1-71,text,true,,1816,134,120,120,https://bugresistance.com/courseadmission,69,0,0
